World rank,Country,Institution,Total Score,PUB,CNCI,IC,TOP,AWARD
mathematics,2019,,,,,,,
1,UnitedStates,Princeton University,362.9,60,90,64.6,100,100
2,France,Sorbonne University,311.8,94.1,75.6,71.2,95.7,32.2
3,UnitedStates,New York University,306.3,53.3,94.4,68.2,70.7,74.3
4,UnitedStates,Stanford University,304.9,60.5,93.1,61,86.6,52.5
5,France,University of Paris-Sud (Paris 11),299.5,66.8,71.9,69.5,72.6,74.3
6,UnitedKingdom,University of Oxford,293,71.1,77.8,73.3,70.7,58.7
7,UnitedStates,Massachusetts Institute of Technology (MIT),288.8,72.2,86.4,65.2,85,32.2
8,UnitedKingdom,University of Cambridge,287.6,60.4,85,75.7,74.5,52.5
9,UnitedStates,"University of California, Los Angeles",278.3,58.1,85,66.3,76.4,45.5
10,UnitedKingdom,University of Warwick,266.1,57.8,77.8,78.3,62.4,52.5
11,UnitedStates,"University of California, Berkeley",264.9,65.6,84.2,62.5,76.4,26.3
12,UnitedStates,Harvard University,259.6,44.5,85.2,63.7,79.9,37.1
13,UnitedStates,University of Wisconsin - Madison,257.3,52.1,83.7,68,70.7,37.1
14,UnitedStates,The University of Texas at Austin,251,57.9,84.6,64.8,50,45.5
15,UnitedStates,Stony Brook University,248.8,40.9,79.9,65.7,62.4,52.5
16,UnitedStates,"Rutgers, The State University of New Jersey - New Brunswick",238.5,58.2,78.4,74.3,50,37.1
17,UnitedStates,University of Chicago,236.8,52.4,89.6,65.7,81.6,0
18,UnitedKingdom,Imperial College London,227.5,61.6,85.3,80.6,64.5,0
19,UnitedStates,Columbia University,225.4,50.2,91.5,64.8,70.7,0
20,Japan,Kyoto University,224.8,60.4,68.6,59.2,57.7,26.3
21,Israel,The Hebrew University of Jerusalem,224.5,48.7,65.7,78,62.4,32.2
22,Switzerland,Swiss Federal Institute of Technology Zurich,221.3,65.2,77.6,80.8,62.4,0
23,Sweden,KTH Royal Institute of Technology,221,41.9,73.7,79,44.1,45.5
24,UnitedStates,"University of California, San Diego",218.8,51.3,77.7,67.7,50,26.3
25,UnitedStates,University of Illinois at Urbana-Champaign,217.1,65.1,67.8,68.7,44.1,26.3
26,UnitedKingdom,The University of Edinburgh,214.6,47.2,82.7,76.1,37.3,32.2
27,France,Ecole Normale Superieure - Lyon,213.7,35.5,76.8,69.9,55.3,32.2
28,France,Paris Dauphine University (Paris 9),213.6,40,85.1,70.5,37.3,37.1
29,France,University Paris Diderot - Paris 7,212.6,64.6,75.7,72.8,57.7,0
30,Germany,University of Bonn,209.9,56.2,78.9,73.2,60.1,0
31,SaudiArabia,King Abdulaziz University,209.5,100,90.7,93.9,0,0
32,France,Ecole Normale Superieure - Paris,206.2,40.7,92.1,77.8,57.7,0
33,UnitedStates,Texas A&M University,201.5,59.8,80.4,70.5,47.1,0
34,Switzerland,Swiss Federal Institute of Technology Lausanne,201.4,54.7,79.9,84.2,50,0
35,UnitedStates,"University of Minnesota, Twin Cities",201.2,57.3,84.4,61.5,47.1,0
36,UnitedStates,Northwestern University,200.9,38.8,83.8,58.2,66.7,0
37,UnitedStates,Rice University,200.7,40.5,92.1,64.3,55.3,0
38,UnitedStates,University of Michigan-Ann Arbor,200.3,62,71,60.2,55.3,0
39,Austria,University of Vienna,197.5,64.8,76.4,77.8,40.8,0
40,Canada,University of Toronto,197.1,56.7,69.6,77.6,55.3,0
41,Canada,University of British Columbia,193.5,55,78,82.1,44.1,0
42,UnitedStates,Brown University,193.4,46.9,83.7,64,50,0
42,France,Paul Sabatier University (Toulouse 3),193.4,50.3,75.8,73.1,52.7,0
44,China,Peking University,193.1,63.6,74.2,56,44.1,0
45,UnitedStates,Georgia Institute of Technology,191.8,56.9,77,69.3,44.1,0
46,UnitedStates,"University of California, Irvine",191.4,43.2,79.3,68,55.3,0
47,UnitedStates,University of Washington,191.3,48.4,79.7,65.6,50,0
48,Switzerland,University of Zurich,190.6,38.3,83.6,80,52.7,0
49,Singapore,National University of Singapore,189.8,49.3,73,87.7,50,0
50,UnitedStates,The Ohio State University - Columbus,188.1,50,75,65.1,50,0
51-75,France,Aix Marseille University,null,64.2,71.7,76.8,28.9,0
51-75,UnitedStates,California Institute of Technology,null,40.1,82.5,66.6,50,0
51-75,France,Ecole Normale Super Cachan,null,26.6,68.5,74.8,16.7,52.5
51-75,France,Ecole Polytechnique,null,54.5,77.5,74,40.8,0
51-75,China,Fudan University,null,61.9,72,60.8,33.3,0
51-75,Germany,Humboldt University of Berlin,null,46.1,78.1,76.9,40.8,0
51-75,UnitedStates,Michigan State University,null,45.5,85.4,72.2,28.9,0
51-75,UnitedStates,Pennsylvania State University - University Park,null,57,71.5,69,37.3,0
51-75,UnitedStates,Purdue University - West Lafayette,null,56.3,76.3,67.7,33.3,0
51-75,Italy,Sapienza University of Rome,null,64.4,79.6,72.2,23.6,0
51-75,China,Tsinghua University,null,61.8,67.5,61,33.3,0
51-75,France,Universit? Grenoble Alpes,null,55.2,72.1,66.1,33.3,0
51-75,UnitedKingdom,University College London,null,40.3,82.2,80.6,37.3,0
51-75,UnitedStates,University of Florida,null,44.3,69.5,66.3,16.7,32.2
51-75,Switzerland,University of Geneva,null,31.1,68,80.2,16.7,45.5
51-75,UnitedStates,"University of Maryland, College Park",null,49.5,76.3,68.8,47.1,0
51-75,Italy,University of Milan,null,51.4,93.8,75.6,23.6,0
51-75,Germany,University of Muenster,null,45.4,74.2,69.4,44.1,0
51-75,France,University of Nice Sophia Antipolis,null,41.7,80.3,70.6,47.1,0
51-75,Italy,University of Pavia,null,40.2,98.5,73.9,23.6,0
51-75,Brazil,University of Sao Paulo,null,67,64.3,76.3,33.3,0
51-75,China,University of Science and Technology of China,null,57,74.7,60.8,33.3,0
51-75,UnitedStates,University of Utah,null,38.7,82,59.3,47.1,0
51-75,Poland,University of Warsaw,null,61,65.2,70.4,33.3,0
51-75,UnitedStates,Yale University,null,36.7,79.3,60.2,57.7,0
76-100,Spain,Autonomous University of Madrid,null,44.8,82.1,78,23.6,0
76-100,UnitedStates,Boston College,null,25.3,81.8,54.6,52.7,0
76-100,China-HongKong,City University of Hong Kong,null,44.5,96.5,69,16.7,0
76-100,UnitedStates,Indiana University Bloomington,null,46.2,68.3,70.6,44.1,0
76-100,Italy,International School for Advanced Studies,null,36.7,94.5,71.1,23.6,0
76-100,Canada,McGill University,null,42.8,72.6,81,37.3,0
76-100,Russia,Moscow State University,null,89.4,55.1,45.8,16.7,0
76-100,China,Nankai University,null,59,77.3,50.9,23.6,0
76-100,Russia,National Research University Higher School of Economics,null,59.1,65.1,62.9,28.9,0
76-100,France,Paris 13 University,null,41.1,69,74.9,47.1,0
76-100,Spain,Polytechnic University of Catalonia,null,51.6,73.4,77.1,28.9,0
